"","v_m"
"1",100
"2",96.64
"3",99.92576
"4",106.241068032
"5",108.376513499443
"6",99.8364442356871
"7",94.2855379361829
"8",100.828954268954
"9",96.0294960457517
"10",105.200312918121
"11",109.292605090636
"12",109.959289981689
"13",117.469509487438
"14",119.818899677187
"15",124.012561165888
"16",124.595420203368
"17",128.208687389266
"18",126.580437059422
"19",124.365279410882
"20",121.442695344726
"21",114.180422163112
"22",105.514128120932
"23",117.489981662657
"24",117.161009714002
"25",118.028001185886
"26",123.988415245773
"27",129.468703199636
"28",133.495179869145
"29",132.360470840257
"30",124.180593742329
"31",129.011218838906
"32",130.030407467733
"33",133.359185898907
"34",137.013227592537
"35",134.615496109668
"36",135.678958528934
"37",137.293538135428
"38",144.940788209572
"39",146.810524377475
"40",152.726988509887
"41",155.094256831791
"42",159.436896023081
"43",157.523653270804
"44",166.423739680604
"45",161.91365633526
"46",168.017801179099
"47",175.040945268385
"48",180.519726855286
"49",185.592331179919
"50",179.430665784746
"51",187.774191743737
"52",188.581620768235
"53",188.223315688775
"54",192.100715991964
"55",197.114544679354
"56",193.093407967895
"57",201.280568465734
"58",197.315341266959
"59",202.287687866887
"60",207.446023907492
"61",207.321556293148
"62",200.873855892431
"63",213.187423258637
"64",210.79972411814
"65",212.043442490437
"66",214.927233308307
"67",211.63884663869
"68",214.898084876926
"69",201.91824055036
"70",195.719350565463
"71",210.887600234287
"72",212.068570795599
"73",207.487889666414
"74",195.536587221629
"75",195.438818928018
"76",209.080448489193
"77",211.003988615294
"78",214.780960011508
"79",214.716525723504
"80",223.240771794727
"81",224.379299730881
"82",224.985123840154
"83",220.485421363351
"84",231.223061383746
"85",235.477565713207
"86",240.140021514328
"87",248.809076290996
"88",249.306694443578
"89",252.148790760234
"90",254.972857216749
"91",257.11462921737
"92",262.102653024187
"93",262.757909656747
"94",269.589615307823
"95",275.898012306026
"96",284.726748699819
"97",288.001106309867
"98",304.388369258898
"99",293.613020987133
"100",287.06545061912
"101",288.299832056782
"102",296.343397371166
"103",298.180726434868
"104",308.169780770436
"105",319.263892878171
"106",319.934347053215
"107",295.97126445893
"108",301.505927104312
"109",273.284972327348
"110",296.842136941965
"111",307.469085444488
"112",311.435436646722
"113",324.453437898555
"114",302.617721527982
"115",324.133841528621
"116",328.606888541716
"117",320.654601839007
"118",325.817140928615
"119",333.05028145723
"120",346.338987687374
"121",356.417452229076
"122",356.524377464745
"123",327.966774829819
"124",284.478380487385
"125",323.309679423913
"126",341.382690503709
"127",349.814842959151
"128",370.03414088219
"129",398.304749245589
"130",383.886117322899
"131",375.86289747085
"132",422.770587075213
"133",442.387142315502
"134",442.254426172808
"135",454.549099220412
"136",468.549211476401
"137",491.648687602187
"138",493.074468796233
"139",506.63401668813
"140",513.068268700069
"141",527.998555319241
"142",504.92501845179
"143",538.502532178834
"144",530.155742930062
"145",546.643586535187
